Symbol,Description,Price,Price - Currency,Gap % 1 day,Price Change % 1 day,Market capitalization,Market capitalization - Currency,Volume 1 day,Volume Change % 1 day,Volume Change % 1 week,Volume Change % 1 month,Average Volume 30 days,Relative Volume 1 day,Relative Volume 1 week,Relative Volume 1 month,Free float,Performance % 1 week,Performance % 1 month,Performance % 3 months,Performance % 6 months,Performance % 1 year,"Earnings per share diluted growth %, Quarterly YoY","Earnings per share diluted growth %, Annual YoY","Revenue growth %, Quarterly YoY","Revenue growth %, Annual YoY","Return on equity %, Trailing 12 months","Pretax margin %, Trailing 12 months",High 52 weeks,High 52 weeks - Currency,High All Time,High All Time - Currency,Average Daily Range %,Average True Range % (14) 1 day,Simple Moving Average (200) 1 day,Simple Moving Average (50) 1 day,Simple Moving Average (20) 1 day,Simple Moving Average (10) 1 day
NVDA,NVIDIA Corporation,174.19,USD,-0.48796717311744225,-3.410225130309419,4232817059326,USD,207011993,1.4705982765241927,-24.9232029179541,-82.47910531942136,157200823.63333353,1.2771683832260887,0.7391129514219924,0.1386535742128159,23355386100,-8.92978512051028,-9.162494785148098,-11.317584767335298,-4.053979619939418,48.931258549931606,67.23120348986399,146.2247548814213,62.4935864545921,114.20340763599357,107.359466655122,62.128757841639,212.1899,USD,212.1899,USD,2.8706051684120606,3.3296861490728995,168.86634999999995,183.64959999999974,185.5185,186.28000000000006
AAPL,Apple Inc.,276.49,USD,1.0408935728068898,2.6013062193854797,4059188158026,USD,90545640,40.611313321969384,-25.357973285152706,-77.99519113322944,48255487.83333373,1.558584263841343,1.07412169428852,0.2006331920232566,14665905061.5,7.312245294003506,2.161543009163473,3.21027287319423,25.204908753339673,21.66776677667767,18.537053254931404,22.70694983233612,15.652453740949316,6.425511782832739,152.02132328265,32.4016280356368,288.62,USD,288.62,USD,2.2039004252285515,2.1907751465235603,237.76489999999995,268.56980000000004,258.41700000000003,260.025
GOOGL,Alphabet Inc.,333.04,USD,0.9566983603661948,-1.9634394041976861,4020415817108.0005,USD,70617633,93.45584760581461,-4.653757661900724,-77.61675555983464,29566609.1,2.3279157053445863,0.8970508303406439,0.1778095033229052,5801063802,-0.898649050764739,4.843304843304859,16.720989731188464,68.86725484230809,63.74453021289151,35.34800264425348,38.66668965279453,16.206048656672444,13.885407137066712,35.4503513622241,39.4152253084178,349,USD,349,USD,2.6769092515700845,2.6522328061284943,237.2233000000002,321.0171999999998,332.3900000000002,335.4980000000001
GOOG,Alphabet Inc.,333.34,USD,0.8966832990901107,-2.160258291752279,4020415817108,USD,36986033,43.43513938279588,-13.065193414943865,-79.50263802603001,19268164.966666665,1.7715705380792264,0.8428194749101636,0.16752840571006683,5021188922,-0.971450640206779,4.924534537842894,16.660542110696962,68.37054247903828,63.00244498777505,35.34800264425348,38.66668965279453,16.206048656672444,13.885407137066712,35.4503513622241,39.4152253084178,350.15,USD,350.15,USD,2.664047433337011,2.636743389424507,238.0885,321.68440000000004,332.86800000000017,336.02699999999993
MSFT,Microsoft Corporation,414.19,USD,-0.05106879696504938,0.724690547408871,3075621254809,USD,45008315,-26.725097977714444,-47.434402122879035,-78.26856776735494,30649886.166666668,0.9227282571057522,1.1585208429369294,0.3067764008283763,7316347003.29,-14.283644792119365,-12.628281528514625,-18.089229917335764,-20.744355147340226,0.3646849291832743,59.692708010656084,15.602277927492747,16.71788832720588,14.93215623240672,34.3907608460574,47.974647490776,555.45,USD,555.45,USD,2.762120903795031,3.1411083773672273,486.5589000000002,471.9060000000004,456.26900000000006,446.21399999999994
AMZN,"Amazon.com, Inc.",232.99,USD,0.10057832537088639,-2.3593998826586184,2490713442698.0005,USD,51299485,-4.703094401467936,-30.587949245536866,-83.05614586084276,37991167.29999998,1.25152389812046,0.8004303291751951,0.14941167102943637,9685246368.599998,-5.428936740202545,1.8134941443803556,-6.487929200698357,4.414269068746089,-2.5187230659804953,36.82588597842836,90.57866059728256,13.401562214795092,10.990892246666146,24.3270322623739,13.4602866937642,258.6,USD,258.6,USD,2.5395909082547816,2.6281939016920624,222.72484999999995,233.5806000000002,239.78849999999989,239.52100000000024
META,"Meta Platforms, Inc.",668.99,USD,-0.5739482434581505,-3.283215266734138,1692663577810.9998,USD,16882622,22.68789225141356,-67.60375762497907,-87.65702621016662,15740010,0.747863857999875,0.5808116594455324,0.13811577379707057,2184885648.18,-0.8169014084507029,2.761862336984074,5.211921050562237,-12.292363159619796,-4.770106761565835,10.710054005512811,-1.5434142906246662,23.784230649994832,22.16703849824621,30.2380714214264,42.7601821212649,796.25,USD,796.25,USD,2.7983740948508773,3.280953589014141,684.1172750000001,653.6904000000002,656.8440000000003,684.2360000000001
TSLA,"Tesla, Inc.",406.01,USD,-0.3554839321262679,-3.779979144942646,1523524906179,USD,74604041,31.151412573631116,-37.89328532062499,-85.0799554998344,62834219.00000008,1.2064747149696098,0.59833001419105,0.09562294535744655,2388820102.3,-5.996619666134157,-9.370744882698279,-12.111438219759284,26.31366082817409,6.110341583252749,-63.9209726443769,-47.24034734828043,-3.1353327887345857,-2.9306991503736306,4.89390519187359,5.56592531662923,498.83,USD,498.83,USD,3.476432670553424,3.978856087755874,379.7864500000002,444.5635999999998,433.3534999999999,429.2730000000003
AVGO,Broadcom Inc.,308.05,USD,-0.2559860144226246,-3.833546655012011,1460549374959.9998,USD,43330272,17.379746180150313,-20.26266993909088,-81.05573486109337,24988820.833333332,1.6472896049816341,0.6411774433752611,0.18229815665595164,4649938915.99,-9.089567655304709,-13.161752269267632,-14.456693788009218,1.315573096530176,40.43765671301574,94.53997320232247,286.2295347706273,28.184146862103315,23.874432853763526,31.0478619856347,35.5768779250865,414.61,USD,414.61,USD,4.314348320077813,4.7953727583441195,307.53715,352.84559999999976,334.08649999999994,325.79399999999987
TSM,"Taiwan Semiconductor Manufacturing Co., Ltd. Sponsored ADR",325.74,USD,-0.04467609828740946,-2.9813849590469075,1460296570635.8362,USD,18175952,44.945518092679094,-25.50505292324686,-85.87154778947348,13003609.8,1.4488478361078383,0.7493994274125563,0.1551213833976964,5181780285,-5.040375477363486,-1.4104116222760195,10.758245494729678,33.96117782530022,59.62169843681091,40.610454708199065,50.892160063593906,25.49885611528208,35.6441348469981,36.4644003317345,53.4781481397098,351.33,USD,351.33,USD,3.4106386337921326,3.4588036584127284,257.5311000000001,310.5649999999993,331.81400000000014,334.8549999999999
